name,ra,dec,diameter,mag,alias
NGC292,13.15833,-72.8,319.1,2.3,
NGC293,13.56666,-7.235556,1.1,14.2,
NGC294,13.273755,-73.380556,0.8,12.7,
NGC295,14.88459,31.798056,0.6,14.2,
NGC296,13.78083,31.542222,2.2,12.6,
NGC297,13.745415,-7.350278,0.3,15.5,
NGC298,13.75917,-7.333611,1.7,13.8,
NGC299,13.35291,-72.196389,0.7,,
NGC300,13.72209,-37.684167,19,8.1,
NGC301,14.076255,-10.673333,0.7,14.8,
NGC302,14.104995,-10.662222,,,
NGC303,13.727505,-16.655,0.7,14.3,
NGC304,14.025,24.127222,1.1,13.1,
NGC305,14.087505,12.063333,,,
NGC306,13.56291,-72.2425,0.8,,
NGC307,14.135415,-1.772222,1.6,12.8,
NGC308,14.142915,-1.783611,,,
NGC309,14.177505,-9.914167,3,11.9,
NGC310,14.199585,-1.764722,,,
NGC311,14.386665,30.280278,1.5,13,
NGC312,14.06541,-52.783056,1.4,12.4,
NGC313,14.44041,30.366667,,,
NGC314,14.218335,-31.963056,0.9,13.4,
NGC315,14.454165,30.351944,3,11.2,
NGC316,14.46834,30.354444,,,
NGC317A,14.412495,43.801389,1.4,13.5,
NGC317B,14.41875,43.791944,1.1,13.4,
NGC318,14.521665,30.426111,0.5,14.4,
NGC319,14.239995,-43.838611,1,13.4,
NGC320,14.69334,-20.840278,0.8,13.8,
NGC321,14.413335,-5.085833,0.4,15,
NGC322_1,14.29167,-43.726944,0.9,13.4,
NGC322_2,14.28792,-43.73,0.15,16.5,
NGC323,14.173755,-52.975833,1.3,12.6,
NGC324,14.31084,-40.959444,1.4,12.9,
NGC325,14.44959,-5.1125,1.3,14.8,
NGC326,14.59416,26.865833,1.4,13.2,
NGC327,14.479995,-5.130833,1.5,13.4,
NGC328,14.23875,-52.923611,2.6,13.4,
NGC329,14.50584,-5.070556,1.5,13.3,
NGC330,14.082495,-72.462222,1.4,9.6,
NGC331,11.77791,-2.731111,0.8,14.6,
NGC332,14.70417,7.111111,1,14,
NGC333,14.713755,-16.468889,1.6,13.9,NGC333A
NGC333A,14.713755,-16.468889,1.6,13.9,NGC333
NGC333B,14.71209,-16.471944,0.3,14.7,
NGC334,14.7075,-35.115556,1.2,13.6,
NGC335,14.83167,-18.234167,1.1,14,
NGC336,14.5125,-18.385833,0.6,14.7,
NGC337,14.95791,-7.578056,3,11.6,
NGC337A,15.39042,-7.588333,6.6,12.2,
NGC338,15.152085,30.669167,1.8,12.8,
NGC339,14.4375,-74.472222,2.2,12.8,
NGC340,15.145005,-6.866111,0.9,13.7,
NGC341,15.19083,-9.186111,1.2,13,NGC341A
NGC341A,15.19083,-9.186111,1.2,13,NGC341
NGC341B,15.19833,-9.187222,0.3,15.8,
NGC342,15.207495,-6.772222,0.8,14.4,
NGC343,14.59959,-23.224444,0.7,15.5,
NGC344,14.60583,-23.228889,0.4,16.1,
NGC345,15.34167,-6.884167,1.2,13.9,
NGC346,14.77083,-72.177222,14,,
NGC347,15.396255,-6.733611,0.6,14.8,
NGC348,15.215835,-53.245,0.8,13.8,
NGC349,15.46125,-6.799722,1.3,13.1,
NGC350,15.485835,-6.795278,0.7,14.4,
NGC351,15.49083,-1.936389,1.5,13.2,
NGC352,15.537915,-4.245278,2.4,12.6,
NGC353,15.602505,-1.956944,1.3,13.7,
NGC354,15.81792,22.342778,0.8,13.5,
NGC355,15.778755,-6.323611,1,15.3,
NGC356,15.77916,-6.988056,1.8,13.1,
NGC357,15.84084,-6.339167,2.5,12,
NGC358,16.294995,62.021111,2.5,,
NGC359,16.070415,-0.764444,1.5,13.4,
NGC360,15.714585,-65.608889,3.6,12.5,
NGC361,15.546255,-71.606667,1.6,,
NGC362,15.80958,-70.847778,14,6.8,
NGC363,16.565415,-16.542222,0.6,14.7,
NGC364,16.17,-0.802778,1.4,13.1,
NGC365,16.077495,-35.122222,1,13.4,
NGC366,16.60791,62.228889,4,,
NGC367,16.453755,-12.128333,0.9,14.7,
NGC368,16.09125,-43.276111,0.7,13.8,
NGC369,16.28667,-17.759167,1,13.8,
NGC370,16.685835,32.429167,,,NGC372
NGC371,15.85833,-72.065,7.5,,
NGC372,16.685835,32.429167,,,NGC370
NGC373,16.74291,32.308889,0.4,14.9,
NGC374,16.77417,32.794722,1.1,13.5,
NGC375,16.77417,32.348611,0.5,14.5,
NGC376,15.972495,-72.823889,1,10.9,
NGC377,16.64625,-20.331389,0.8,15.1,
NGC378,16.549995,-30.178056,1.5,13.1,
NGC379,16.81542,32.520278,1.4,12.8,
NGC380,16.82334,32.482778,1.3,12.5,
NGC381,17.083335,61.583333,7,9.3,
NGC382,16.84959,32.403333,0.7,13.2,
NGC383,16.853745,32.412222,2,12.2,
NGC384,16.854165,32.292778,1.1,13.1,
NGC385,16.86333,32.319444,1.1,13,
NGC386,16.879995,32.3625,0.4,14.3,
NGC387,16.887495,32.390833,0.4,15.5,
NGC388,16.94625,32.310556,0.6,14.3,
NGC389,17.124165,39.695,1.3,14,
NGC390,16.973745,32.433611,,,
NGC391,16.843755,0.925833,0.9,13.5,
NGC392,17.09709,33.133333,1.2,12.7,
NGC393,17.153745,39.643889,1.7,12.5,
NGC394,17.108745,33.147778,0.6,13.8,
NGC395,16.280415,-71.994167,17,,
NGC396,17.03541,4.530833,0.4,15.7,
NGC397,17.12916,33.109722,0.7,14.8,
NGC398,17.22333,32.515,0.8,14.5,
NGC399,17.24625,32.633611,0.9,13.5,
NGC400,17.26041,32.733056,,,
NGC401,17.282085,32.76,,,
NGC402,17.30583,32.805833,,,
NGC403,17.30916,32.751667,1.8,12.5,
NGC404,17.36208,35.718333,3.5,10.3,
NGC405,17.140005,-46.668333,,,
NGC406,16.85166,-69.876111,2.6,12.5,
NGC407,17.65209,33.125278,1.8,13.4,
NGC408,17.712495,33.152222,,,
NGC409,17.38833,-35.805556,1.3,13,
NGC410,17.745,33.1525,2.4,11.5,
NGC411,16.982085,-71.768611,1.3,12.2,
NGC412,17.58333,-20.015,,,
NGC413,18.13041,-2.793333,1.2,14.1,
NGC414,17.82333,33.113611,0.7,13.8,
NGC415,17.52291,-35.490278,1.5,13.4,
NGC416,16.993755,-72.356944,1.2,12.6,
NGC417,17.772915,-18.148611,0.6,14,
NGC418,17.64834,-30.221111,2,12.6,
NGC419,17.071665,-72.883333,2.4,11.2,
NGC420,18.06,32.123611,,,
NGC421,18.040005,32.123056,2,12.1,
NGC422,17.35584,-71.766667,,13.4,
NGC423,17.84208,-29.234444,1,13.5,
NGC424,17.865,-38.083611,2.3,12.9,
NGC425,18.261255,38.769167,1,12.7,
NGC426,18.20208,-0.289722,1.4,12.9,
NGC427,18.079995,-32.061111,1,14,
NGC428,18.23166,0.981389,4,11.5,
NGC429,18.23916,-0.345,1.4,13.4,
NGC430,18.249585,-0.2525,1.3,12.5,
NGC431,18.519165,33.705278,1.4,12.9,
NGC432,17.94291,-61.5275,1.3,13,
NGC433,18.78834,60.125833,4,,
NGC434,18.05958,-58.247222,2.2,12,
NGC434A,18.125835,-58.207778,1.2,14.9,
NGC435,18.49917,2.071111,1.1,14.2,
NGC436,18.991665,58.811667,5,8.8,
NGC437,18.59292,5.926389,1.3,12.8,
NGC438,18.39291,-37.901389,1.4,12.8,
NGC439,18.44667,-31.747222,2.5,11.5,
NGC440,18.20166,-58.282778,1.2,13.2,
NGC441,18.462915,-31.788889,1.4,12.7,
NGC442,18.66084,-1.020556,1,13.4,
NGC443,18.781245,33.377778,0.8,13.1,IC1653
NGC444,18.95667,31.080556,1.9,14.3,IC1658
NGC445,18.71916,1.9175,0.5,14.2,
NGC446,19.01541,4.294444,2,12.4,IC89
