name,ra,dec
LdN-1097,21.777732,+55.731991
LdN-1098,21.575345,+57.64024
LdN-1099,21.60905,+57.391686
LdN-1100,20.579755,+64.006977
LdN-1101,21.659621,+56.977155
LdN-1102,21.541522,+58.055437
LdN-1103,21.694988,+56.728627
LdN-1104,21.701695,+56.728905
LdN-1105,21.619002,+57.558777
LdN-1106,21.709977,+56.895916
LdN-1107,21.946035,+54.488509
LdN-1108,21.439783,+59.55093
LdN-1109,21.861517,+55.818631
LdN-1110,21.659031,+57.89381
LdN-1111,21.659031,+57.89381
LdN-1112,21.642149,+58.059765
LdN-1113,21.743333,+57.197284
LdN-1114,21.827654,+56.40065
LdN-1115,21.777005,+56.981975
LdN-1116,21.608261,+58.558332
LdN-1117,21.64198,+58.309762
LdN-1118,21.776864,+57.215306
LdN-1119,21.219816,+61.707328
LdN-1120,21.793675,+57.149312
LdN-1121,21.675548,+58.277837
LdN-1122,20.544363,+65.338345
LdN-1123,21.658639,+58.477133
LdN-1124,21.692355,+58.228537
LdN-1125,21.244983,+61.708543
LdN-1126,21.658582,+58.560464
LdN-1127,21.682066,+58.561446
LdN-1128,21.692131,+58.561864
LdN-1129,21.77644,+57.898631
LdN-1130,21.742624,+58.313934
LdN-1131,21.666265,+59.5608
LdN-1132,21.775901,+58.731952
LdN-1133,22.045759,+56.242177
LdN-1134,21.690946,+60.228506
LdN-1135,21.657062,+60.643767
LdN-1136,21.75826,+59.981258
LdN-1137,21.859577,+59.068591
LdN-1138,21.859577,+59.068591
LdN-1139,21.927014,+58.571166
LdN-1140,21.673652,+60.894465
LdN-1141,21.926911,+58.737831
LdN-1142,21.943483,+59.07179
LdN-1143,21.960316,+58.989085
LdN-1144,21.842086,+60.117926
LdN-1145,21.520991,+62.721283
LdN-1146,21.520991,+62.721283
LdN-1147,20.675507,+67.345824
LdN-1148,20.675507,+67.345824
LdN-1149,21.960233,+59.122419
LdN-1150,22.263929,+55.999589
LdN-1151,21.993831,+59.073655
LdN-1152,20.573611,+68.006805
LdN-1153,22.010666,+58.990936
LdN-1154,22.280604,+56.216791
LdN-1155,20.725327,+67.681928
LdN-1156,22.331135,+55.751709
LdN-1157,20.657572,+68.011529
LdN-1158,20.742122,+67.682848
LdN-1159,22.111608,+58.57785
LdN-1160,22.077798,+58.99334
LdN-1161,22.330967,+56.135041
LdN-1162,21.333811,+65.046174
LdN-1163,22.34773,+56.168892
LdN-1164,22.111271,+59.16118
LdN-1165,22.119712,+59.078135
LdN-1166,22.094237,+59.577254
LdN-1167,21.062361,+67.033023
LdN-1168,20.943845,+67.610288
LdN-1169,22.119317,+59.744796
LdN-1170,21.027866,+67.614621
LdN-1171,20.892246,+68.324279
LdN-1172,21.044543,+67.698809
LdN-1173,21.078159,+67.700509
LdN-1174,21.043742,+68.198789
LdN-1175,22.227858,+60.748456
LdN-1176,21.516673,+66.721186
LdN-1177,21.312711,+68.26195
LdN-1178,22.151227,+62.329248
LdN-1179,22.455493,+59.038782
LdN-1180,22.446993,+59.255205
LdN-1181,21.702342,+66.145749
LdN-1182,22.21872,+61.914835
LdN-1183,21.702249,+66.229083
LdN-1184,22.345433,+60.752185
LdN-1185,22.489052,+59.089739
LdN-1186,22.226977,+62.131775
LdN-1187,22.632537,+57.26027
LdN-1188,22.277632,+61.750072
LdN-1189,22.649322,+57.260699
LdN-1190,22.514216,+59.140447
LdN-1191,22.235189,+62.415379
LdN-1192,22.564836,+58.591826
LdN-1193,22.243591,+62.415652
LdN-1194,22.547821,+59.091368
LdN-1195,22.445945,+61.255188
LdN-1196,22.445945,+61.255188
LdN-1197,22.631855,+58.926928
LdN-1198,22.614843,+59.42649
LdN-1199,21.598347,+68.558118
LdN-1200,22.766263,+58.763557
LdN-1201,22.394152,+63.503683
LdN-1202,22.444861,+63.088503
LdN-1203,22.461725,+63.005656
LdN-1204,22.444756,+63.255169
LdN-1205,22.765587,+60.430215
LdN-1206,22.477628,+64.422786
LdN-1207,22.494449,+64.423261
LdN-1208,22.511272,+64.423731
LdN-1209,22.494223,+64.756593
LdN-1210,22.748028,+62.096474
LdN-1211,22.781611,+62.180594
LdN-1212,22.798406,+62.214312
LdN-1213,22.527413,+65.424186
LdN-1214,22.56084,+65.758435
LdN-1215,22.86571,+62.099131
LdN-1216,22.865637,+62.265799
LdN-1217,22.218879,+70.748302
LdN-1218,23.03378,+62.26916
LdN-1219,22.193225,+70.997463
LdN-1220,23.067561,+61.853105
LdN-1221,22.473894,+69.006066
LdN-1222,23.084403,+61.77007
LdN-1223,22.948826,+64.267533
LdN-1224,23.066832,+63.769765
LdN-1225,23.202147,+61.60534
LdN-1226,23.168308,+62.271478
LdN-1227,23.168292,+62.321477
LdN-1228,20.983742,+77.529731
LdN-1229,23.235662,+61.98918
LdN-1230,23.235652,+62.022513
LdN-1231,23.303114,+61.273465
LdN-1232,23.286168,+61.773234
LdN-1233,23.274237,+62.339734
LdN-1234,23.285991,+62.406567
LdN-1235,22.248579,+73.415994
LdN-1236,22.8787,+68.932777
LdN-1237,23.376762,+62.607741
LdN-1238,23.538738,+59.776128
LdN-1239,23.205621,+66.072072
LdN-1240,23.183565,+66.438393
LdN-1241,21.834153,+76.734755
LdN-1242,22.519446,+73.257408
LdN-1243,22.177023,+75.330387
LdN-1244,23.420455,+62.774921
LdN-1245,23.538573,+60.776127
LdN-1246,23.420249,+63.608251
LdN-1247,22.346635,+75.252452
LdN-1248,23.538306,+62.276124
LdN-1249,23.740471,+58.944251
LdN-1250,23.368606,+67.274315
LdN-1251,22.600872,+75.259629
LdN-1252,23.756857,+63.277664
LdN-1253,23.94209,+58.528269
LdN-1254,23.942083,+58.778269
LdN-1255,23.891609,+60.528168
LdN-1256,23.925244,+60.02824
LdN-1257,23.958865,+59.661626
LdN-1258,23.984075,+59.611646
LdN-1259,23.381926,+74.274493
LdN-1260,23.950316,+64.944939
LdN-1261,23.449726,+74.27526
LdN-1262,23.449726,+74.27526
LdN-1263,23.958739,+64.844952
LdN-1264,23.874278,+68.278117
LdN-1265,0.160487,+58.861477
LdN-1266,23.958661,+67.278284
LdN-1267,0.009245,+66.77832
LdN-1268,23.99238,+67.444977
LdN-1269,0.009242,+67.161651
LdN-1270,0.026101,+67.161652
LdN-1271,0.026102,+67.278321
LdN-1272,0.042961,+67.278316
LdN-1273,0.042977,+68.528315
LdN-1274,23.958509,+70.944945
LdN-1275,0.110409,+67.44491
LdN-1276,0.211252,+64.027982
LdN-1277,0.228084,+64.027919
LdN-1278,0.261732,+63.861109
LdN-1279,0.295383,+63.777614
LdN-1280,0.328902,+62.660765
LdN-1281,0.312235,+63.944192
LdN-1282,0.362431,+61.777225
LdN-1283,0.379238,+61.710449
LdN-1284,0.362621,+63.193892
LdN-1285,0.413099,+63.193542
LdN-1286,0.580497,+58.942041
LdN-1287,0.598238,+63.441852
LdN-1288,0.632642,+66.108138
LdN-1289,21.52285,+88.395371
LdN-1290,0.698584,+61.107331
LdN-1291,0.703858,+62.023932
LdN-1292,21.674559,+88.568496
LdN-1293,0.699102,+63.107326
LdN-1294,0.705605,+62.27391
LdN-1295,0.747233,+52.440022
LdN-1296,0.747288,+52.773353
LdN-1297,0.715832,+62.773778
LdN-1298,0.7238,+61.107004
LdN-1299,0.751174,+55.739967
LdN-1300,0.73229,+61.440227
LdN-1301,0.7292,+62.456935
LdN-1302,0.7324,+61.85689
LdN-1303,0.71659,+65.27377
LdN-1304,0.718394,+69.773755
LdN-1305,1.054695,+67.768312
LdN-1306,1.052026,+62.268342
LdN-1307,1.087015,+65.267668
LdN-1308,1.227861,+72.931418
LdN-1309,1.119284,+62.267006
LdN-1310,1.118137,+59.26702
LdN-1311,11.409834,+84.725443
LdN-1312,1.236901,+62.097803
LdN-1313,1.270331,+61.680372
LdN-1314,1.287023,+61.429981
LdN-1315,1.338279,+63.095425
LdN-1316,1.320638,+61.42918
LdN-1317,1.384708,+61.844265
LdN-1319,1.38778,+61.260852
LdN-1320,4.2538,+85.631112
LdN-1321,10.612177,+84.241323
LdN-1322,1.404585,+61.260425
LdN-1323,1.421473,+61.426659
LdN-1324,1.438363,+61.592884
LdN-1325,1.498026,+63.091299
LdN-1326,1.511477,+63.090931
LdN-1327,1.57526,+65.422496
LdN-1328,1.644078,+67.253847
LdN-1329,1.591965,+65.255351
LdN-1330,1.608793,+65.254863
LdN-1331,1.641897,+64.503882
LdN-1332,1.707513,+62.05187
LdN-1333,2.434352,+75.475493
LdN-1334,1.724255,+61.951352
LdN-1335,1.861893,+66.080286
LdN-1336,1.896177,+66.745804
LdN-1337,1.75784,+61.916962
LdN-1338,1.909617,+62.711958
LdN-1339,1.909473,+62.511959
LdN-1340,2.512294,+72.955329
LdN-1341,1.92977,+62.694597
LdN-1343,1.934606,+62.411093
LdN-1345,1.951579,+62.643838
LdN-1346,1.951567,+62.627172
LdN-1347,1.968149,+62.326583
LdN-1348,1.976611,+62.409621
LdN-1349,2.232196,+66.233438
LdN-1350,2.158651,+60.986216
LdN-1351,2.178677,+60.818774
LdN-1352,2.586822,+67.38515
LdN-1353,2.739391,+68.211488
LdN-1354,2.32881,+61.729464
LdN-1355,2.878662,+69.038152
LdN-1356,2.379179,+61.727375
LdN-1357,2.875016,+68.871652
LdN-1358,2.926344,+69.369136
LdN-1359,2.42983,+62.058572
LdN-1360,2.445914,+61.224537
LdN-1361,2.471442,+61.640112
LdN-1362,2.4627,+61.223815
LdN-1363,2.462562,+61.05715
LdN-1364,2.49655,+61.555683
LdN-1365,2.479142,+60.806428
LdN-1366,2.547051,+61.72013
