name,ra,dec,diameter,mag,alias
IC479,118.592085,27.007222,0.7,14.7,
IC480,118.846245,26.742222,1.7,14.2,
IC481,119.761665,24.160278,1,14.4,
IC482,119.94708,25.356111,0.7,14.5,
IC483,119.968335,25.925,,,
IC484,120.00417,26.665833,0.6,14.6,
IC485,120.0825,26.701667,1.2,14.5,
IC486,120.087915,26.613333,0.9,13.7,
IC487,119.779995,-0.6375,0.9,13.1,NGC2494
IC488,120.20709,25.902778,,,
IC489,120.407505,25.996667,,,
IC490,120.833745,25.811111,0.5,14.8,
IC491,120.97917,26.519444,0.5,14.5,
IC492,121.41,26.1675,1.1,13.5,
IC493,121.864995,25.133611,0.6,14.1,
IC494,121.60125,1.036667,1.3,13.1,
IC495,122.08083,9.014444,0.4,14.1,
IC496,122.43291,25.881111,0.8,15.2,IC2229
IC497,122.525415,24.922222,0.8,14.4,
IC498,122.376255,5.280556,0.9,13.8,
IC499,131.32209,85.740556,2.1,12.5,
IC500,123.16458,-16.051111,1.3,12.5,
IC501_1,124.69791,24.537778,0.2,14.6,
IC501_2,124.69875,24.537222,0.2,14.5,
IC502,125.515005,8.753056,0.4,14.7,
IC503,125.544165,3.268611,1.1,13,
IC504,125.671665,4.261944,1.2,13,
IC505,125.839995,4.373056,1.2,14,
IC506,125.877915,4.300278,0.6,13.7,
IC507,126.25833,-0.591111,2.2,13.1,NGC2590
IC508,127.092915,25.124444,0.7,14,
IC509,128.01459,24.010278,1.2,13,
IC510,128.045415,-2.162222,1.1,13.9,
IC511,132.590835,73.462778,1.3,12.1,NGC2646
IC512,135.954165,85.501667,1.8,12.2,
IC513,128.270835,-12.355,1.1,13,
IC514,128.84292,-2.046944,0.3,14.1,
IC515,128.88,-1.900556,0.7,14.7,
IC516,128.96166,-1.871111,0.5,14.9,
IC517,129.091665,-2.055556,0.4,14.6,
IC518,129.02916,0.693333,,,
IC519,130.14333,2.611944,0.4,14,
IC520,133.42542,73.490833,1.5,11.7,
IC521,131.68416,2.538333,0.9,14.1,
IC522,133.645005,57.166667,1,13,
IC523,133.29666,9.148333,0.9,13.1,
IC524,134.55333,-19.191389,1,13.9,
IC525,135.343755,-1.853056,1,14.1,
IC526,135.669585,10.842222,0.8,14.4,
IC527,137.424165,37.601944,1.2,13.3,
IC528,137.34375,15.795833,1.5,14.1,
IC529,139.637085,73.759722,3.3,11.9,
IC530,138.82125,11.886111,1.8,13.1,
IC531,139.46166,-0.278056,1.7,13.5,
IC532,139.7625,-16.755,,,
IC533,140.09709,-3.991389,1,14.7,
IC534,140.314995,3.150278,1.7,14.1,
IC535,140.567505,-1.04,0.4,14.2,
IC536,141.166665,25.110278,1.2,14.4,
IC537,141.343755,-12.391111,1.2,13.1,
IC538,141.826665,23.02,0.7,13.9,NGC2885
IC539,142.284165,-2.548889,1,13.4,
IC540,142.54209,7.901389,1,14.1,
IC541,142.624995,-4.25,,,
IC542,142.775835,-13.181111,1.2,13.7,
IC543,142.787505,-14.773333,,,
IC544,143.971245,24.892778,0.8,14.6,
IC545,144.02208,24.9475,0.5,14.4,
IC546,143.709165,-16.384444,1.1,13.4,
IC547,144.024165,-12.436667,1.5,12.1,NGC2947/IC2494
IC548,144.58041,9.446111,0.6,14.7,
IC549,145.179585,3.958889,0.5,14.7,
IC550,145.119165,-6.945833,0.8,13.5,
IC551,145.249995,6.936667,0.8,13.6,
IC552,145.318755,10.647222,1,13.4,
IC553,145.187505,-5.435278,1.2,13.7,
IC554,145.487505,12.296389,1.3,13.3,IC555
IC555,145.487505,12.296389,1.3,13.3,IC554
IC556,145.917915,11.061389,0.7,13.4,NGC2984
IC557,146.01042,10.988611,0.8,13.9,
IC558,146.251245,29.452778,0.8,13.6,
IC559,146.1825,9.615833,0.9,14.2,
IC560,146.472495,-0.268333,1.3,13.3,
IC561,146.495415,3.145,0.4,14.6,
IC562,146.51667,-3.971944,1.3,14.2,
IC563,146.58417,3.046111,0.9,13.9,
IC564,146.5875,3.071111,1.7,13.4,
IC565,146.95959,15.851389,1.6,14.4,
IC566,147.48459,-0.230833,0.6,14.5,
IC567,147.64125,12.785556,,,
