name,ra,dec,pmra,pmdec,mag,alias
3 Per,29.639608,49.204353,7.051,41.686,5.702,
alf Hyi,29.692244,-61.569822,289.561,18.43,2.84,
57 Cet,29.9425,-20.824538,18.826,15.86,5.429,
ups Cet,30.001285,-21.077832,133.922,-24.341,4.02,
112 Psc,30.038165,3.097014,230.826,-256.471,5.89,
X Tri,30.140571,27.888668,25.893,-14.053,9,
pi. For,30.311345,-30.00183,-109.489,-108.749,5.35,
chi Phe,30.426568,-44.713507,-31.417,-47.826,5.14,
48 Cas,30.489376,70.907025,-55.69,-8.71,4.54,
alf Psc B,30.511259,2.763811,41.8,-11,5.135,
g Per,30.575452,54.48754,34.245,-2.924,5.04,
52 Cas,30.718649,64.901464,-13.287,-12.328,5.986,
eps Tri,30.741482,33.284134,-15.96,-7.11,5.516,
53 Cas,30.750782,64.390018,-0.881,-2.204,5.614,
60 Cet,30.798543,0.128508,76.813,21.653,5.423,
50 Cas,30.858785,72.421294,-43.842,22.548,3.938,
10 Ari,30.913939,25.935476,128.01,11.19,5.694,
61 Cet,30.950681,-0.340243,83.085,-45.554,5.942,
gam01 And,30.974801,42.329728,42.32,-49.3,2.1,Almach
nu. For,31.122661,-29.296819,12.79,8.48,4.69,
47 Cas,31.280934,77.28134,139.92,-47.79,5.268,
49 Cas,31.381459,76.11506,-11.813,-20.561,5.22,
kap Ari,31.641354,22.648319,20.348,-35.671,5.019,
11 Ari,31.705145,25.704556,18.232,-13.092,6.02,
alf Ari,31.793357,23.462418,188.55,-148.08,2.01,Hamal
58 And,32.121921,37.859085,154.277,-43.122,4.82,
54 Cas,32.28442,71.552007,306.91,-239.244,6.57,
14 Ari,32.35552,25.939838,81.194,-24.267,4.977,
bet Tri,32.385946,34.987297,149.16,-39.1,3,
15 Ari,32.656653,19.500337,88.751,-27.183,5.688,
59 And A,32.720102,39.039542,-13.492,-14.607,6.07,
59 And B,32.723569,39.043309,-8.983,-17.071,6.1,
16 Ari,32.800228,25.936942,-8.211,-4.866,5.999,
64 Cet,32.837828,8.569807,-141.042,-113.463,5.623,
5 Tri,32.854262,31.526395,35.524,-10.512,6.23,
5 Per,32.871639,57.645546,-0.653,-0.765,6.35,
63 Cet,32.899312,-1.825427,-11.171,-31.922,5.933,
iot Tri,33.092833,30.303068,-65.05,-60.5,4.952,
66 Cet,33.198089,-2.393629,377.146,-68.623,5.66,
eta Ari,33.200357,21.210994,163.917,5,5.23,
mu. For,33.226958,-30.723826,14.425,6.616,5.26,
ksi01 Cet,33.250001,8.846702,-26.965,-1.154,4.35,
19 Ari,33.263767,15.279863,97.957,-20.879,5.7,
b And,33.305509,44.231646,-20.9,-14.46,4.826,
6 Per,33.40143,51.06578,342.991,-163.937,5.31,
pi.01 Hyi,33.560587,-67.84144,28.539,52.107,5.559,
55 Cas,33.621202,66.52444,-0.983,-5.848,6.07,
pi.02 Hyi,33.869274,-67.746363,42.107,-11.216,5.658,
21 Ari,33.928236,25.043045,-89.72,-86.42,5.58,
20 Ari,33.941874,25.782938,176.818,-65.175,5.79,
7 Tri,33.984532,33.358898,-15.234,-32.711,5.249,
phi Eri,34.12744,-51.512165,91.03,-22.23,3.57,
67 Cet,34.246014,-6.422117,91.99,-107.163,5.499,
del Tri,34.26346,34.224232,1151.935,-246.605,4.84,
gam Tri,34.328612,33.847193,44.64,-52.57,4,
8 Per,34.49953,57.899821,60.692,5.556,5.748,
chi Per,34.519102,57.516322,-13.409,-1.338,6.023,
tet Ari,34.531377,19.901158,-7.832,-3.654,5.572,
10 Tri,34.737473,28.642676,7.073,0.836,5.291,
c And,34.819987,47.379976,-60.03,-5.61,5.31,
omi Cet,34.836634,-2.977638,9.33,-237.36,6.53,Mira/Mira A
63 And,35.242506,50.151496,39.818,-31.607,5.59,
del Hyi,35.43726,-68.659418,-50.395,3.214,4.09,
69 Cet,35.485948,0.395672,-11.656,-7.553,5.287,
70 Cet,35.551647,-0.884854,-18.815,-46.892,5.421,
i Per,35.58931,55.845653,0.64,-1.692,5.17,
kap For,35.635793,-23.8168,162.321,5.038,5.198,
kap Hyi,35.717955,-73.645792,-79.629,11.798,5.987,
64 And,36.103816,50.006543,24.574,-35.977,5.19,
ksi Ari,36.204407,10.610559,20.979,-15.022,5.478,
lam Hor,36.224625,-60.311948,-71.718,-131.35,5.355,
71 Cet,36.243287,-2.780028,3.555,-7.366,6.335,
10 Per,36.316785,56.609821,-0.508,-1.182,6.26,
65 And,36.405929,50.278629,24.289,-14.483,4.71,
rho Cet,36.487524,-12.290474,-11.596,-9.786,4.866,
kap Eri,36.74634,-47.70384,19.32,-5.54,4.25,
25 Ari,36.847457,10.198324,-293.92,-203.084,6.45,
11 Tri,36.865713,31.801279,-24.331,-27.845,5.552,
66 And,36.965742,50.569974,31.719,-90.246,6.156,
phi For,37.007096,-33.811039,18.759,5.426,5.123,
ksi02 Cet,37.039821,8.46006,23.707,-4.787,4.3,
12 Tri,37.041582,29.669329,-15.632,-86.097,5.29,
13 Tri,37.20206,29.931758,-66.071,71.499,5.901,
iot Cas,37.266449,67.402477,-26.61,38.21,4.46,iot Cas AB
26 Ari,37.660071,19.855303,79.92,-34.779,6.13,
27 Ari,37.726658,17.703858,33.029,-82.91,6.225,
mu. Hyi,37.918846,-79.109416,121.149,-48.414,5.275,
alf UMi,37.95456,89.264109,44.48,-11.85,2.02,Lodestar/Polaris/North Star
sig Cet,38.021787,-15.244674,-80.21,-146.29,4.75,
14 Tri,38.025707,36.147272,45.066,11.901,5.144,
75 Cet,38.03926,-1.034893,-23.268,-30.987,5.358,
29 Ari,38.225591,15.034536,-20.534,49.072,5.988,
lam01 For,38.279275,-34.649967,-18.216,-18.058,5.889,
ome For,38.461256,-28.232337,-13.843,-3.79,4.96,
77 Cet,38.677598,-7.859445,59.658,-63.96,5.731,
79 Cet,38.833038,-3.560603,-155.501,-437.848,6.78,
15 Tri,38.945088,34.68755,26.689,-48.894,5.374,
nu. Cet,38.968642,5.59324,-27.585,-22.205,4.871,
80 Cet,39.000199,-7.831596,-34.087,-59.12,5.535,
iot01 For,39.038603,-30.044978,-17.457,-6.236,5.729,
31 Ari,39.157995,12.447632,279.471,-85.654,5.64,
30 Ari B,39.240606,24.648056,140.951,-10.536,7.09,
lam02 For,39.244199,-34.577975,-18.363,-259.002,5.79,
30 Ari A,39.252181,24.647219,136.866,-15.349,6.48,
eta Hor,39.351452,-52.543109,101.535,-20.207,5.293,
81 Cet,39.424175,-3.396174,41.765,-43.379,5.647,
iot02 For,39.577755,-30.194064,97.193,-74.53,5.829,
nu. Ari,39.704135,21.961402,-4.203,-15.103,5.451,
del Cet,39.870649,0.328509,12.85,-2.94,4.07,
eps Cet,39.890822,-11.872098,161.62,-230.53,4.87,
eps Hyi,39.897338,-68.266947,87.3,0.09,4.096,
s Eri,39.949897,-42.891811,118.8,-1.521,4.75,
zet Hor,40.165055,-54.549912,33.395,5.812,5.21,
iot Eri,40.166812,-39.855376,135.601,-27.235,4.116,
33 Ari,40.17115,27.060943,63.163,-26.952,5.296,
84 Cet,40.308322,-0.695662,216.51,-129.33,5.71,
12 Per,40.562144,40.19395,-18.669,-186.19,4.92,
mu. Ari,40.591399,20.011465,29.086,-46.133,5.74,
85 Cet,40.620571,10.741729,-26.487,-23.618,6.31,
iot Hor,40.639444,-50.800293,333.716,219.423,5.4,
11 Per,40.761825,55.106018,34.979,-21.712,5.753,
gam Cet,40.825163,3.235816,-146.1,-146.12,3.47,Kaffaljidhma
35 Ari,40.862976,27.707149,8.502,-11.433,4.67,
14 Per,41.0215,44.297039,2.314,-6.229,5.435,
pi. Cet,41.030615,-13.858689,-8.394,-23.592,4.236,
tet Per,41.049944,49.228448,334.708,-89.251,4.11,
36 Ari,41.079637,17.763926,36.836,-36.203,6.398,
omi Ari,41.137383,15.31186,2.942,-16.236,5.777,
mu. Cet,41.235572,10.114145,278.641,-41.222,4.26,
38 Ari,41.239922,12.445756,122.203,-86.328,5.17,
tau01 Eri,41.275828,-18.572623,318.568,48.171,4.46,
gam Hor,41.36449,-63.704553,19.119,-8.749,5.743,
zet Hyi,41.385976,-67.616617,66.102,43.764,4.82,
eta01 For,41.890627,-35.550621,-41.541,-35.18,6.508,
39 Ari,41.977258,29.247118,150.336,-124.838,4.51,Lilii Borea
40 Ari,42.133702,18.283791,41.437,-32.566,5.83,
RZ Cas,42.231292,69.634289,2.71,37.476,6.26,
nu. Hor,42.256197,-62.806522,94.372,28.564,5.253,
bet For,42.272579,-32.405898,86.023,159.404,4.46,
pi. Ari,42.323163,17.46431,2.6,-14.1,5.26,
gam01 For,42.46234,-24.560312,-51.219,-128.237,6.146,
gam02 For,42.475761,-27.941983,46.677,21.962,5.377,
41 Ari,42.495972,27.260507,66.81,-116.52,3.594,Bharani
eta02 For,42.561598,-35.843618,51.003,18.217,5.92,
nu. Hyi,42.618581,-75.066948,-33.506,-26.239,4.742,
16 Per,42.646082,38.318643,195.451,-109.398,4.22,
eta03 For,42.668361,-35.67585,4.093,-54.551,5.472,
eta Per,42.674206,55.895496,16.23,-13.54,3.79,Miram
tau02 Eri,42.759696,-21.004011,-52.886,-21.805,4.77,Angetenar
sig Ari,42.873277,15.082067,29.636,-24.65,5.516,
17 Per,42.878489,35.059739,9.479,-62.744,4.53,
SU Cas,42.994796,68.888502,3.101,-8.145,5.8,
psi For,43.39332,-38.437001,58.249,35.14,5.926,
20 Per,43.427553,38.337487,46.79,-78.9,5.343,
tau Per,43.56449,52.762467,-8.311,-2.58,3.96,
rho01 Ari,43.73002,17.734744,28.985,-15.89,7,
rho02 Ari,43.952075,18.331639,-7.78,-14.98,5.93,
eta Eri,44.106872,-8.898143,78.2,-219.121,3.87,Azha
rho Ari,44.109049,18.02324,262.027,-231.606,5.58,
21 Per,44.322007,31.93422,1.79,-30.088,5.093,
4 Eri,44.349027,-23.862166,101.712,-36.599,5.45,
47 Ari,44.521755,20.668734,233.959,-31.607,5.8,
6 Eri,44.523887,-23.60601,70.357,52.549,5.809,
tet01 Eri,44.565318,-40.304677,-52.273,23.058,3.18,
pi. Per,44.690292,39.662726,25.048,-41.522,4.7,Gorgonea Secunda
bet Hor,44.699151,-64.071287,23.142,4.943,4.969,
24 Per,44.76532,35.183131,-46.308,6.614,4.93,
eps Ari B,44.802826,21.340073,-9.4,-5,5.57,
zet For,44.900761,-25.274133,181.303,84.3,5.686,
5 Eri,44.921501,-2.464956,-3.899,-22.759,5.55,
lam Cet,44.928749,8.907358,6.01,-17.7,4.7,
7 Eri,45.212,-2.878622,8.317,8.246,6.13,
rho01 Eri,45.291775,-7.663009,100.864,-71.182,5.75,
eps For,45.406787,-28.091492,273.108,-443.074,5.85,
49 Ari,45.475588,26.462354,-14.323,5.16,5.909,
tet Hyi,45.56437,-71.902455,27.256,16.598,5.499,
